"lon","lat","unc"
-121.761794,37.304786,4
-117.273262,33.006303,4
-98.506008,29.859353,6
-97.783524,30.135378,5
-117.846803,33.634842,3
-97.335168,32.586906,332
-97.961328,30.35163,6
-97.46688,31.198117,4
-101.803253,30.469897,5
-117.011969,32.893164,3
-97.779267,30.125169,1
-117.124405,32.596504,7
-117.002178,32.955754,NA
-117.040294,32.844586,NA
-97.87326,30.1901,8
-97.339423,31.497838,4
-119.034052,34.176364,3
-98.616424,29.582693,152
-98.283917,29.555988,4
-117.026363,32.812482,73
-98.048976,30.659983,4
-97.873233,30.187736,14
-97.808288,30.224208,4
-97.779825,30.125089,1
-117.607868,33.836887,3
-121.949417,37.914253,9
-117.2688,33.542795,3
-118.0241,33.68462,4
-97.995842,29.839867,7
-99.727136,29.566347,NA
-121.498575,36.7596,2
-118.811282,34.226628,75
-118.890647,34.103133,4
-122.287712,37.466125,5
-101.586318,32.80479,NA
-97.409653,31.137514,3
-116.932041,32.653321,61
-119.8937,35.164075,10
-117.269408,33.541878,2
-98.742501,29.483967,NA
-121.029525,38.758522,4
-99.417337,29.98987,6
-98.590938,29.577128,NA
-117.397839,33.556339,NA
-122.914497,38.428813,23
-98.320504,29.511918,3
-97.828872,30.696575,4
-117.268779,33.542796,9
-117.266426,33.539574,3
-97.828537,30.6969,6
-116.93178,32.653334,61
-97.868256,30.2146,4
-99.73198,32.385575,6
-119.034575,34.176948,3
-117.0379,32.840422,NA
-118.662688,34.281088,14
-97.822504,30.219695,7
-98.787929,29.422453,116
-97.823002,30.220568,6
-109.461223,32.901149,10
-119.033787,34.176963,13
-119.034423,34.176934,3
-117.66839,33.737216,122
-102.320808,31.873613,18
-97.813218,30.221959,5
-118.799263,34.166875,7
-101.229912,31.965413,2
-117.611947,33.578197,6
-121.12925,37.368358,5
-97.822557,30.219618,6
-118.704056,34.169103,NA
-99.417345,29.989857,9
-115.260047,36.325737,4
-106.296255,31.789669,10
-101.229963,31.965422,3
-118.760375,34.116272,2
-118.024094,33.68463,3
-97.812966,30.221679,5
-101.229897,31.9654,4
-119.034502,34.177063,36
-118.572547,34.084843,NA
-118.930078,34.126195,9
-120.69548,35.665742,9
-118.707875,34.099237,4
-99.506781,30.063642,NA
-121.763358,37.303256,5
-118.312553,34.485278,10
-122.460759,38.301246,3
-117.313247,34.007544,4
-156.833911,20.795767,3
-122.561958,40.585188,4
-99.101511,29.373932,3
-118.228905,34.069693,6
-118.447593,33.961445,NA
-98.125802,30.365333,4
-118.825553,34.21003,6
-97.624955,30.186294,4
-117.205222,33.1138,13
-99.137992,30.97753,4
-98.619426,29.572159,41
-118.514666,34.311488,4
-98.742211,30.289013,2
-117.307472,33.139978,33
-118.709953,34.220753,4
-122.283042,37.467137,5
-117.695149,33.738064,NA
-98.447937,29.637087,11
-98.644206,29.521058,NA
-117.156503,33.075661,15
-118.005328,33.999173,NA
-98.788186,29.82136,NA
-118.097781,33.749572,154
-98.146133,29.792987,3
-97.898334,29.952472,6
-118.338287,33.725037,4
-122.283042,37.470047,4
-118.044696,33.706882,86
-120.48515,34.778899,45
-123.058318,42.151013,NA
-118.413593,34.105502,2
-119.679289,34.01932,15
-122.636006,37.990734,4
-117.194703,33.0946,13
-122.629837,37.968855,4
-117.192458,32.70343,3
-109.873476,32.222211,NA
-98.733789,29.654935,3
-117.242661,32.666646,222
-117.204767,33.09685,9
-111.009065,32.302195,38
-117.9637,33.63537,3
-122.483405,37.560713,4
-122.547813,38.451545,3
-118.853867,34.226585,16
